Registered Business Name,Street Address,City,State/Province,Country,Zip,URL,Contact Name,Contact Email Address,TIN,Registration Number,VAT
FARMSON SEEDS INDIA PRIVATE LIMITED (OPC),Address 123,Hyderabad,Telangana,India,588911,http://xyz.com,Random Guy,msak@ksa.com,78789,897894,8766
PAX INTERNATIONAL TRADING OPC PRIVATE LIMITED,Address 124,Hyderabad1,Telangana1,India,588912,http://xyz.com,Random Guy1,msak1@ksa.com,78790,897895,8767
SIGINTEGRITY SOLUTIONS PRIVATE LIMITED (OPC),Address 125,Hyderabad2,Telangana2,India,588913,http://xyz.com,Random Guy2,msak2@ksa.com,78791,897896,8768
SURYAVANSHI TECHNOLOGIES PRIVATE LIMITED (OPC),Address 126,Hyderabad3,Telangana3,India,588914,http://xyz.com,Random Guy3,msak3@ksa.com,78792,897897,8769
ELEMENT DATA ANALYSIS PRIVATE LIMITED (OPC),Address 127,Hyderabad4,Telangana4,India,588915,http://xyz.com,Random Guy4,msak1@ksa.com,78793,897898,8770
LAKE CONSULTING OPC PRIVATE LIMITED,Address 128,Hyderabad5,Telangana5,India,588916,http://xyz.com,Random Guy5,msak2@ksa.com,78794,897899,8771
ADVISA MANAGEMENT AND SECURITY SERVICES OPC PRIVATE LIMITED,Address 129,Hyderabad6,Telangana6,India,588917,http://xyz.com,Random Guy6,msak1@ksa.com,78795,897900,8772
ARGENT COOPERATION PRODUCER COMPANY LIMITED,Address 130,Hyderabad7,Telangana7,India,588918,http://xyz.com,Random Guy7,msak2@ksa.com,78796,897901,8773
SHIV FARMERS PRODUCER COMPANY LIMITED,Address 131,Hyderabad8,Telangana8,India,588919,http://xyz.com,Random Guy8,msak3@ksa.com,78797,897902,8774
BINAANSH AGRO PRIVATE LIMITED,Address 132,Hyderabad9,Telangana9,India,588920,http://xyz.com,Random Guy9,msak1@ksa.com,78798,897903,8775
